title,location,description,date
Open Enrollment – Advanced Upstream Processes: Design and Optimization,National Center for Therapeutics Manufacturing (NCTM),"
  Learning Objectives
  
  • Overview of Cell Culture Principles
  
  • Cell Banking
  
  • Passaging of Adherent and Suspension Cells
  
  • Calculations for Transfection and Infection of Cell Cultures
  
  • Principles of Scale Up
  
  • Feeding Strategies and Recipe Design
  
  • Overview of PID Control Loops
  
  • Cell Culture Issues and Troubleshooting strategies
  
  • Growth Monitoring and Offline Analysis
  
  • Single Use Bioreactor Set up and Inoculation
  
  • Maintenance of Bioanalytical Equipment
  
  • Overview of Clean In Place; 100 liter reusable bioreactor operation; mammalian cell culture clarification by depth filtration; Continuous flow disc stack centrifuge operation.
",September 23
"Texas Well Owner Network Water Screenings and Results Meetings: Calhoun, Jackson and Matagorda counties","Calhoun County AgriLife Meeting Room at 311 Henery Barber Way, Port Lavaca or Matagorda County Fairgrounds Multi-Purpose Building, 4511 FM 2668 in Bay City","
  September 23: Drop off water samples from 8:30-10:00 a.m. at local AgriLife Extension or Groundwater Conservation District offices.
  
  September 24: Attend the follow-up meeting to explain the results of the screenings from 8:00 a.m. until noon for Calhoun County in Port Lavaca and from 1:30 until 5:30 p.m. at the Matagorda County Fairgrounds in Bay City.
",September 23
2024 Pesticide Applicator Training for Public Health,Multiple dates and locations available,,September 24
Free Tutoring,College Hills Baptist Church 712 Churchill Street College Station Texas 77840,,September 24
Inaugural Engineering Art Competition,Zachry Engineering Education Complex,"
  Engineering Art Competition
  Theme: Aggie Engineering: Forging the Future!
  August 19, 2024 - October 4, 2024
  We are excited to host our inaugural art contest exclusively for engineering students! This is your chance to showcase your creativity alongside your technical skills.
",September 24
ISSS Processing Day,,,September 24
Open Enrollment – Advanced Upstream Processes: Design and Optimization,National Center for Therapeutics Manufacturing (NCTM),"
  Learning Objectives
  
  • Overview of Cell Culture Principles
  
  • Cell Banking
  
  • Passaging of Adherent and Suspension Cells
  
  • Calculations for Transfection and Infection of Cell Cultures
  
  • Principles of Scale Up
  
  • Feeding Strategies and Recipe Design
  
  • Overview of PID Control Loops
  
  • Cell Culture Issues and Troubleshooting strategies
  
  • Growth Monitoring and Offline Analysis
  
  • Single Use Bioreactor Set up and Inoculation
  
  • Maintenance of Bioanalytical Equipment
  
  • Overview of Clean In Place; 100 liter reusable bioreactor operation; mammalian cell culture clarification by depth filtration; Continuous flow disc stack centrifuge operation.
",September 24
Pattern Recognition,Forsyth Galleries,"
  Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.
",September 24
Pattern Recognition,Forsyth Galleries,Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.,September 24
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",September 24
